Gene,Error
2003-08-01 00:00:00,No sequence found
2002-08-01 00:00:00,No sequence found
2001-08-01 00:00:00,No sequence found
0610012G03Rik,RetryError[<Future at 0x19d3d2368a0 state=finished raised HTTPError>]
2210010C04Rik,RetryError[<Future at 0x19d3d0786b0 state=finished raised HTTPError>]
1700037H04Rik,RetryError[<Future at 0x19d3dc09160 state=finished raised HTTPError>]
2310022A10Rik,RetryError[<Future at 0x19d3d068fe0 state=finished raised HTTPError>]
2410002F23Rik,RetryError[<Future at 0x19d3d32d760 state=finished raised HTTPError>]
2610301B20Rik,RetryError[<Future at 0x19d3a2a5970 state=finished raised HTTPError>]
9930111J21Rik1,RetryError[<Future at 0x19d3dcb5fa0 state=finished raised HTTPError>]
AK157302,No sequence found
A26c3,RetryError[<Future at 0x19d3d069a30 state=finished raised HTTPError>]
5031439G07Rik,RetryError[<Future at 0x19d3dcb6450 state=finished raised HTTPError>]
9530068E07Rik,RetryError[<Future at 0x19d3d2375f0 state=finished raised HTTPError>]
Aagab,RetryError[<Future at 0x19d3a42af30 state=finished raised HTTPError>]
Aaas,RetryError[<Future at 0x19d3dcdfaa0 state=finished raised HTTPError>]
Aak1,RetryError[<Future at 0x19d3d078dd0 state=finished raised HTTPError>]
Aars2,RetryError[<Future at 0x19d3dcdcd70 state=finished raised HTTPError>]
Aatf,RetryError[<Future at 0x19d3d072b40 state=finished raised HTTPError>]
Aatk,RetryError[<Future at 0x19d3dc090a0 state=finished raised HTTPError>]
Aarsd1,RetryError[<Future at 0x19d2b0b7710 state=finished raised HTTPError>]
Abcb1b,RetryError[<Future at 0x19d3d32d130 state=finished raised HTTPError>]
Abcb7,RetryError[<Future at 0x19d3d32d5e0 state=finished raised HTTPError>]
Abcc1,RetryError[<Future at 0x19d3dcddfd0 state=finished raised HTTPError>]
Abcb11,RetryError[<Future at 0x19d3dcdf950 state=finished raised HTTPError>]
Abcb6,RetryError[<Future at 0x19d3dc0bd40 state=finished raised HTTPError>]
Abcc4,RetryError[<Future at 0x19d3dcde2a0 state=finished raised HTTPError>]
Abcf2,RetryError[<Future at 0x19d3dcb6c30 state=finished raised HTTPError>]
Abcd1,RetryError[<Future at 0x19d3d0477a0 state=finished raised HTTPError>]
Abhd16a,RetryError[<Future at 0x19d3d3850d0 state=finished raised HTTPError>]
Abhd14b,RetryError[<Future at 0x19d3d073b00 state=finished raised HTTPError>]
