Gene,Error
Ankrd17,RetryError[<Future at 0x19d3d97d880 state=finished raised HTTPError>]
Bst2,RetryError[<Future at 0x19d3dbf3c50 state=finished raised HTTPError>]
Ccrl2,RetryError[<Future at 0x19d3dbf02f0 state=finished raised HTTPError>]
Clec4a1,RetryError[<Future at 0x19d3d97ce00 state=finished raised HTTPError>]
Cd274,RetryError[<Future at 0x19d3dbf0b30 state=finished raised HTTPError>]
Apobec3,RetryError[<Future at 0x19d3db196a0 state=finished raised HTTPError>]
Clec4d,RetryError[<Future at 0x19d3daedb20 state=finished raised HTTPError>]
Dock4,RetryError[<Future at 0x19d3dbf3da0 state=finished raised HTTPError>]
Gbp2,RetryError[<Future at 0x19d3db193d0 state=finished raised HTTPError>]
Gbp6,RetryError[<Future at 0x19d3d9e8530 state=finished raised HTTPError>]
Gbp5,RetryError[<Future at 0x19d3d97f6b0 state=finished raised HTTPError>]
H2-D1,RetryError[<Future at 0x19d3d9bfaa0 state=finished raised HTTPError>]
Gm12185,RetryError[<Future at 0x19d3d9e8950 state=finished raised HTTPError>]
H2-T24,RetryError[<Future at 0x19d3db1ab10 state=finished raised HTTPError>]
Ifi44,RetryError[<Future at 0x19d3dbf0650 state=finished raised HTTPError>]
Ifih1,RetryError[<Future at 0x19d3d9bddf0 state=finished raised HTTPError>]
Ifit3b,RetryError[<Future at 0x19d3d9bf5f0 state=finished raised HTTPError>]
H2-T23,RetryError[<Future at 0x19d3daedf10 state=finished raised HTTPError>]
Iigp1,RetryError[<Future at 0x19d3db711f0 state=finished raised HTTPError>]
Il36g,RetryError[<Future at 0x19d3db192e0 state=finished raised HTTPError>]
Irgm2,RetryError[<Future at 0x19d3dac5a60 state=finished raised HTTPError>]
Isg20,RetryError[<Future at 0x19d3d96b1d0 state=finished raised HTTPError>]
Lyn,RetryError[<Future at 0x19d3dac5280 state=finished raised HTTPError>]
Oasl2,RetryError[<Future at 0x19d3db183e0 state=finished raised HTTPError>]
Pml,RetryError[<Future at 0x19d3dbf3380 state=finished raised HTTPError>]
Oasl1,RetryError[<Future at 0x19d3d96be90 state=finished raised HTTPError>]
Ripk2,RetryError[<Future at 0x19d3d96b050 state=finished raised HTTPError>]
Tlr9,RetryError[<Future at 0x19d3dbf0650 state=finished raised HTTPError>]
Sting1,RetryError[<Future at 0x19d3dbf1d60 state=finished raised HTTPError>]
Slfn8,RetryError[<Future at 0x19d3db72ae0 state=finished raised HTTPError>]
Stat1,RetryError[<Future at 0x19d3db898b0 state=finished raised HTTPError>]
Trim21,RetryError[<Future at 0x19d3daee030 state=finished raised HTTPError>]
Zc3hav1,RetryError[<Future at 0x19d3dbf3d40 state=finished raised HTTPError>]
