gene,error
Trim30a,unexpected: RetryError[<Future at 0x24bfecd9a00 state=finished raised HTTPError>]
9930111J21Rik1,unexpected: RetryError[<Future at 0x24bfecda2a0 state=finished raised HTTPError>]
Ankrd17,unexpected: RetryError[<Future at 0x24bfecdbd10 state=finished raised HTTPError>]
Apobec3,unexpected: RetryError[<Future at 0x24bfed04da0 state=finished raised HTTPError>]
Bst2,unexpected: RetryError[<Future at 0x24bfed060f0 state=finished raised HTTPError>]
Ccl2,unexpected: RetryError[<Future at 0x24bfed06ba0 state=finished raised HTTPError>]
Ccr1,unexpected: RetryError[<Future at 0x24bfed200e0 state=finished raised HTTPError>]
Ccrl2,unexpected: RetryError[<Future at 0x24bfe6cef60 state=finished raised HTTPError>]
Cd274,unexpected: RetryError[<Future at 0x24bfed22720 state=finished raised HTTPError>]
Cd74,unexpected: RetryError[<Future at 0x24bfed23bf0 state=finished raised HTTPError>]
Cd86,unexpected: RetryError[<Future at 0x24bfe2a0aa0 state=finished raised HTTPError>]
Clec4a1,unexpected: RetryError[<Future at 0x24bfed3da60 state=finished raised HTTPError>]
Clec4d,unexpected: RetryError[<Future at 0x24bfed05490 state=finished raised HTTPError>]
Ctsh,unexpected: RetryError[<Future at 0x24bfed3ef00 state=finished raised HTTPError>]
Dap,unexpected: RetryError[<Future at 0x24bfed483e0 state=finished raised HTTPError>]
Dhx58,unexpected: RetryError[<Future at 0x24bfed49820 state=finished raised HTTPError>]
Dock4,unexpected: RetryError[<Future at 0x24bfed48290 state=finished raised HTTPError>]
Fcgr1,unexpected: RetryError[<Future at 0x24bfcc35160 state=finished raised HTTPError>]
Fcgr4,unexpected: RetryError[<Future at 0x24bfed408c0 state=finished raised HTTPError>]
Gbp2,unexpected: RetryError[<Future at 0x24bfed41be0 state=finished raised HTTPError>]
Gbp4,unexpected: RetryError[<Future at 0x24bfed42630 state=finished raised HTTPError>]
Gbp5,unexpected: RetryError[<Future at 0x24bfed43320 state=finished raised HTTPError>]
Gbp6,unexpected: RetryError[<Future at 0x24bfed43d10 state=finished raised HTTPError>]
Gbp7,unexpected: RetryError[<Future at 0x24bfed55af0 state=finished raised HTTPError>]
Gbp9,unexpected: RetryError[<Future at 0x24bfed554f0 state=finished raised HTTPError>]
Gm12185,unexpected: RetryError[<Future at 0x24bfed43650 state=finished raised HTTPError>]
Gm5431,unexpected: RetryError[<Future at 0x24bfed43fe0 state=finished raised HTTPError>]
Gsdmd,unexpected: RetryError[<Future at 0x24bfed3f350 state=finished raised HTTPError>]
H2-D1,unexpected: RetryError[<Future at 0x24bfed55fa0 state=finished raised HTTPError>]
H2-K1,unexpected: RetryError[<Future at 0x24bfed55fd0 state=finished raised HTTPError>]
H2-Q4,unexpected: RetryError[<Future at 0x24bfed558b0 state=finished raised HTTPError>]
H2-Q6,unexpected: RetryError[<Future at 0x24bfed56c60 state=finished raised HTTPError>]
H2-Q7,unexpected: RetryError[<Future at 0x24bfe3edbe0 state=finished raised HTTPError>]
H2-T23,unexpected: RetryError[<Future at 0x24bfed42ba0 state=finished raised HTTPError>]
H2-T24,unexpected: RetryError[<Future at 0x24bfed3f350 state=finished raised HTTPError>]
Hck,unexpected: RetryError[<Future at 0x24bfed564e0 state=finished raised HTTPError>]
Ifi44,unexpected: RetryError[<Future at 0x24bfed55160 state=finished raised HTTPError>]
Ifih1,unexpected: RetryError[<Future at 0x24bfe504c50 state=finished raised HTTPError>]
Ifitm2,unexpected: RetryError[<Future at 0x24bfed571d0 state=finished raised HTTPError>]
Ifit2,unexpected: RetryError[<Future at 0x24bfed3f350 state=finished raised HTTPError>]
Ifit3,unexpected: RetryError[<Future at 0x24bfed54ec0 state=finished raised HTTPError>]
Ifit3b,unexpected: RetryError[<Future at 0x24bfed56060 state=finished raised HTTPError>]
Ifitm2,unexpected: RetryError[<Future at 0x24bfeb3dd60 state=finished raised HTTPError>]
Igtp,unexpected: RetryError[<Future at 0x24bfe4fcd40 state=finished raised HTTPError>]
Iigp1,unexpected: RetryError[<Future at 0x24bfed556d0 state=finished raised HTTPError>]
Il1a,unexpected: RetryError[<Future at 0x24bfe506e40 state=finished raised HTTPError>]
Il1b,unexpected: RetryError[<Future at 0x24bfe4f4c80 state=finished raised HTTPError>]
Il1rn,unexpected: RetryError[<Future at 0x24bfed43e30 state=finished raised HTTPError>]
Il36g,unexpected: RetryError[<Future at 0x24bfed55fa0 state=finished raised HTTPError>]
Irak3,unexpected: RetryError[<Future at 0x24bfe3713a0 state=finished raised HTTPError>]
Irgm1,unexpected: RetryError[<Future at 0x24bfe4defc0 state=finished raised HTTPError>]
Irgm2,unexpected: RetryError[<Future at 0x24bfed55010 state=finished raised HTTPError>]
Isg20,unexpected: RetryError[<Future at 0x24bfe4f51c0 state=finished raised HTTPError>]
Lyn,unexpected: RetryError[<Future at 0x24bfed573e0 state=finished raised HTTPError>]
Mefv,unexpected: RetryError[<Future at 0x24bfcb83620 state=finished raised HTTPError>]
Nos2,unexpected: RetryError[<Future at 0x24bfecb17f0 state=finished raised HTTPError>]
Oas1a,unexpected: RetryError[<Future at 0x24bfe4fe540 state=finished raised HTTPError>]
Oas2,unexpected: RetryError[<Future at 0x24bfe3efaa0 state=finished raised HTTPError>]
Oas3,unexpected: RetryError[<Future at 0x24bfe504aa0 state=finished raised HTTPError>]
Oasl1,unexpected: RetryError[<Future at 0x24bfe77a7e0 state=finished raised HTTPError>]
Oasl2,unexpected: RetryError[<Future at 0x24bfed550a0 state=finished raised HTTPError>]
Pml,unexpected: RetryError[<Future at 0x24bfe4e4440 state=finished raised HTTPError>]
Rel,unexpected: RetryError[<Future at 0x24bfe4f51c0 state=finished raised HTTPError>]
Relb,unexpected: RetryError[<Future at 0x24bfe3efaa0 state=finished raised HTTPError>]
Ripk2,unexpected: RetryError[<Future at 0x24bfe505b80 state=finished raised HTTPError>]
Sema4a,unexpected: RetryError[<Future at 0x24bfed55550 state=finished raised HTTPError>]
Slfn8,unexpected: RetryError[<Future at 0x24bfed57380 state=finished raised HTTPError>]
Slfn9,unexpected: RetryError[<Future at 0x24bfe4fd100 state=finished raised HTTPError>]
Src,unexpected: RetryError[<Future at 0x24bfed56510 state=finished raised HTTPError>]
Stat1,unexpected: RetryError[<Future at 0x24bfebf34a0 state=finished raised HTTPError>]
Stat2,unexpected: RetryError[<Future at 0x24bfed55fa0 state=finished raised HTTPError>]
Sting1,unexpected: RetryError[<Future at 0x24bfed54ef0 state=finished raised HTTPError>]
Syk,unexpected: RetryError[<Future at 0x24bfed57170 state=finished raised HTTPError>]
Tlr9,unexpected: RetryError[<Future at 0x24bfe4ff8c0 state=finished raised HTTPError>]
Tnfrsf14,unexpected: RetryError[<Future at 0x24bfed57080 state=finished raised HTTPError>]
Tnip1,unexpected: RetryError[<Future at 0x24bfed56600 state=finished raised HTTPError>]
Tnip3,unexpected: RetryError[<Future at 0x24bfed55130 state=finished raised HTTPError>]
Trim12a,unexpected: RetryError[<Future at 0x24bfe4fe540 state=finished raised HTTPError>]
Trim21,unexpected: RetryError[<Future at 0x24bfe4e7560 state=finished raised HTTPError>]
Trim30d,unexpected: RetryError[<Future at 0x24bfeb3f3e0 state=finished raised HTTPError>]
Trim56,unexpected: RetryError[<Future at 0x24bfed579b0 state=finished raised HTTPError>]
Uba7,unexpected: RetryError[<Future at 0x24bfed540b0 state=finished raised HTTPError>]
Zc3hav1,unexpected: RetryError[<Future at 0x24bfed57380 state=finished raised HTTPError>]
