gene,error
Gm20489,UID not found (no_uid)
Gm7075,UID not found (no_uid)
Gm44505,UID not found (no_uid)
Gm42715,UID not found (no_uid)
Gm9774,UID not found (no_uid)
Gm43738,UID not found (no_uid)
Atg4a-ps,UID not found (no_uid)
Gm49391,UID not found (no_uid)
Gm45785,UID not found (no_uid)
Rpl36a-ps1,UID not found (no_uid)
Gm49804,UID not found (no_uid)
2001-08-01 00:00:00,UID not found (no_uid)
Kiaa1522,UID not found (no_uid)
Gm20708,UID not found (no_uid)
Gm20547,UID not found (no_uid)
Gm20521,UID not found (no_uid)
Gm50364,UID not found (no_uid)
Gm45062,UID not found (no_uid)
Gm20671,UID not found (no_uid)
Gm29094,UID not found (no_uid)
Gm21970,UID not found (no_uid)
Rps18-ps6,UID not found (no_uid)
Gm28051,UID not found (no_uid)
Gm49325,UID not found (no_uid)
Gm20509,UID not found (no_uid)
Gm20696,UID not found (no_uid)
AK157302,UID not found (no_uid)
Mt-Cyb,UID not found (no_uid)
Mtco1,UID not found (no_uid)
Mtco2,UID not found (no_uid)
mt-Co3,UID not found (no_uid)
Mtnd1,UID not found (no_uid)
Mtnd2,UID not found (no_uid)
Mtnd3,UID not found (no_uid)
Mtnd4l,UID not found (no_uid)
Mtnd4,UID not found (no_uid)
Mtnd5,UID not found (no_uid)
Mtatp8,UID not found (no_uid)
Zfa,UID not found (no_uid)
Cox5b-ps,UID not found (no_uid)
Gm21985,UID not found (no_uid)
Kiaa0100,UID not found (no_uid)
Pef1,unexpected: RetryError[<Future at 0x1c75abf5a30 state=finished raised URLError>]
Acp6,unexpected: RetryError[<Future at 0x1c75a7ac800 state=finished raised URLError>]
Mafa,unexpected: RetryError[<Future at 0x1c75a7aff50 state=finished raised URLError>]
2003-08-01 00:00:00,UID not found (no_uid)
2002-08-01 00:00:00,UID not found (no_uid)
Gm17087,UID not found (no_uid)
