gene,seq_length,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
Acod1,488,1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,1,0
Il1b,269,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1
Iigp1,413,1,0,0,0,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Samhd1,658,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0
Tgtp2,415,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,1,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,0
Tgtp1,415,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,1,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,0
Ptges,153,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gbp2,589,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0
Epsti1,314,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,1,1,-1,0
Ms4a6c,217,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0
Gbp5,590,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0
Pilrb1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilrb1,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pilrb,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ly6i,134,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0
Ifi205a,404,1,-1,0,-1,0,1,1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Saa3,122,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,-1,0,0,0
Fpr2,351,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
Ms4a4c,131,1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fas,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0
Rsad2,362,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nmes1,83,1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nos2,136,1,-1,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,0,1,0
Calhm6,313,1,-1,1,0,1,0,0,0,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isg20,300,1,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Tspan3,253,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fpr1,364,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oasl1,511,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1
Il1rn,162,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,-1,0,0,0
H2-Q6,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0
Cxcl10,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
H2-Q7,334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0
H2-Eb1,264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
H2-Eb1,264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
H2-Eb1,264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
H2-Eb1,264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Ifi44,422,1,0,0,1,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Slc7a2,657,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,-1,0,0,-1,-1,0,1,0
Clec4e,214,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hydin,5154,1,0,0,1,0,1,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0
Il18bp,193,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Plaat3,162,1,0,0,0,0,0,-1,0,1,0,0,-1,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1
Cd40,289,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Il15ra,263,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zfp36,319,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
Cebpb,296,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1
Mmp14,582,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd274,290,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0
Il1a,270,1,0,1,0,0,-1,0,0,-1,-1,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,0
Pnp2,337,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Serbp1,386,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,-1,-1,-1,0,-1,0,0,-1,0
Icam1,537,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Ms4a6b,244,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0
Gbp4,644,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1
Ptgs2,604,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zbp1,576,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,0,-1,0,1,0,0,0,0
