gene,seq_length,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
Trim30a,496,1,0,0,0,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,-1,0
Crk,304,1,0,0,0,0,-1,0,-1,-1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0
Ppp1r9b,817,1,0,1,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0
Ifit2,472,1,0,0,0,0,1,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0
Cmklr1,371,1,-1,0,-1,0,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0
Bax,237,1,0,1,0,0,-1,0,1,-1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Il15ra,263,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rel,587,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,1,0,0,1,0,1,0,1,0,-1,0,1
Bst2,172,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Oasl1,511,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1
Nrbp1,543,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Mcl1,331,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plekhn1,611,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,-1,-1
H2-Q6,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0
Dnajb12,376,1,-1,0,0,1,-1,-1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,1,0
Itgal,1161,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,0
Mark2,776,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0
Ifi205a,404,1,-1,0,-1,0,1,1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Lilrb3,844,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trim30d,347,1,-1,0,-1,1,1,0,-1,-1,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,-1
Rps6kc1,1056,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
Dtx3l,748,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,1,0,-1,0,0,0
Ifi44,422,1,0,0,1,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Stat3,769,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0
Map2k4,253,1,-1,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0
Fas,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0
Rapgef2,1496,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,1,0,0,0
Oasl2,260,1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0
Clec4a1,245,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Il36g,193,1,-1,0,0,-1,1,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0
Cdkn1a,159,1,0,0,0,0,-1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,1
Gsr,500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Mefv,767,1,0,1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,1,0,1,0,1,0,0,0
Oas2,751,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2-K1,368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Mapk7,703,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,0
Tnip3,279,1,0,0,1,1,0,0,0,0,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,1,0,-1
Fcgr1,404,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Ccrl2,360,1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0
Ifit3b,428,1,0,0,-1,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0
Rgl1,766,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0
Mlh1,760,1,0,0,0,0,0,0,0,1,1,0,-1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0
