gene,seq_length,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
Acp2,423,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim30a,496,1,0,0,0,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,-1,0
Ube2f,185,1,0,0,0,0,0,1,0,1,1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,0,1,1,0
Hmgcs1,520,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Bfar,325,1,-1,-1,0,0,1,0,-1,0,0,0,1,-1,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0
Pgm1,562,1,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Pfkl,780,1,0,0,0,-1,0,-1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Ncf4,339,1,0,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1
Sqstm1,442,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,-1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,-1
Ube2h,113,1,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1
Nrbp1,543,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
Man2a1,1150,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0
Ikbke,717,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Eef1a2,463,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1
Pgap2,254,1,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B4galt5,388,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rbm14,669,1,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnajb12,376,1,-1,0,0,1,-1,-1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,1,0
Lage3,148,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Usp18,368,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,1,0
Psmb10,273,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0
Eef1akmt4-Ece2,734,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
B3gat3,335,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trim30d,347,1,-1,0,-1,1,1,0,-1,-1,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,-1
Ero1a,464,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,1,1,0,-1,0
Slc25a22,323,1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Gys1,738,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,0,0,0
Psmf1,157,1,0,0,0,1,0,0,1,0,0,1,0,0,-1,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1
Rps6kc1,1056,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
Plaat3,162,1,0,0,0,0,0,-1,0,1,0,0,-1,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1
Gde1,331,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dtx3l,748,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,1,0,0,1,1,0,-1,0,0,0
Gfpt1,697,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,0,0,-1,0,0,0,1,0,0,0,1,0
Tdrd7,1086,1,0,-1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1
Ell2,639,1,0,0,0,0,0,0,0,0,1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0
Rnaseh2c,166,1,1,0,0,-1,-1,0,0,-1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Mthfr,654,1,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,1,-1,0,0,1
Dus2,493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Mrpl10,262,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gsr,500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Mefv,767,1,0,1,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1,1,0,1,0,1,0,0,0
Tbk1,729,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Tgm2,686,1,0,-1,-1,0,0,0,-1,1,0,-1,0,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,-1,1
Ptgs2,604,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fyttd1,283,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,-1,1,0
Acin1,565,1,-1,0,0,-1,0,1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,-1
Peli1,418,1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Mlh1,760,1,0,0,0,0,0,0,0,1,1,0,-1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0
Irgm2,395,1,-1,-1,0,0,-1,0,0,-1,0,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0
Rnf149,394,1,0,0,1,1,1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akt3,479,1,0,-1,0,0,0,0,1,-1,0,0,0,0,1,1,0,-1,0,0,1,0,0,1,0,1,0,0,0,0,1
Dnaja2,412,1,0,0,0,0,-1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,1,0,0,1,1
Slc23a2,605,1,1,0,0,-1,-1,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,1,-1,1,0,0,0,0
Dus2,493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Psma5,241,1,0,0,0,1,0,-1,0,-1,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,0
Ccdc124,217,1,0,1,1,0,0,0,-1,0,0,1,0,0,0,0,1,0,1,1,0,-1,0,1,0,0,0,-1,0,1,1
Nampt,491,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Ptpn2,406,1,0,0,0,0,-1,1,-1,0,-1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,-1,0,0
Parp9,866,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Hk2,917,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1
Cers6,384,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,-1,0
Irgm1,393,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
Gclm,274,1,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pfkfb3,543,1,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,1
Psmb9,219,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0
Mcmbp,642,1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1
Rab43,215,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0
Fau,133,1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0
Lpin2,931,1,0,0,0,-1,-1,0,0,-1,-1,-1,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Sh3pxd2b,908,1,0,0,1,1,0,0,0,-1,0,1,0,0,-1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Rps23,143,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,-1,0,1,0,0,-1,1,0,0,1,1,0
Ak4,223,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0
Znrf2,238,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Herc6,1003,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Hk3,867,1,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
Cmpk2,447,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Riok3,519,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yju2,314,1,0,-1,1,1,0,0,0,1,0,0,0,0,-1,0,-1,0,0,1,0,0,1,0,1,0,0,1,-1,1,0
Prkdc,4128,1,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,0,0
Stx12,274,1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
Sarnp,210,1,0,0,-1,0,0,-1,0,0,1,0,1,0,0,-1,0,1,0,-1,0,0,0,1,0,0,-1,0,1,0,0
Ass1,412,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1
Iigp1,413,1,0,0,0,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cflar,215,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1,-1,0,0,0,0,0,0
