Gene,SeqLength,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
Casp3,192,1,0,0,0,0,-1,-1,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0
9930111J21Rik1,844,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cd74,523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Cd86,335,1,0,-1,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clec4a1,245,1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Cd274,290,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,0
Alas1,642,1,-1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Fcgr4,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
Fas,663,1,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1
Gbp2,409,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Dhx58,678,1,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gbp5,590,1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0
Fyb1,358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,-1
Fpr1,364,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gbp6,611,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1
H2-Q4,354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,0,0,0,0,0
Gbp7,339,1,0,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1
H2-T24,363,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H2-T23,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ifi204,134,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,-1
Igtp,424,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Hck,786,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Ifi44,422,1,0,0,1,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Ifi205a,404,1,-1,0,-1,0,1,1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Il36g,574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0
Il1rn,178,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0
Mefv,269,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1
Irgm1,342,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Itgb7,806,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,-1
Lyn,581,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
Mndal,538,1,0,-1,0,1,1,0,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,1,1
Rps6kc1,1056,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
Relb,501,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Src,1992,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Syk,618,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,0,0,1,0,0,0,0,0
Sting1,337,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rel,518,1,1,0,1,0,1,0,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,-1,0,0,1,0,0,0,0,0
Ripk2,539,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,0
Slamf7,132,1,-1,0,0,0,0,0,0,0,0,0,1,1,-1,0,-1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0
Tlr2,784,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0
Stat1,191,1,0,1,1,0,1,1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,1,0,0,-1,1,1,0
Tpd52,224,1,-1,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0
Tapbpl,451,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Trim30d,347,1,-1,0,-1,1,1,0,-1,-1,0,0,-1,-1,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,-1
Trim30a,496,1,0,0,0,0,0,-1,0,0,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,-1,0
Trim21,531,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0
