gene,error
Gm20489,not found
Gm7075,not found
Gm44505,not found
Gm42715,not found
Gm9774,not found
AB124611,not found
Trbv2,not found
Gm43738,not found
Atg4a-ps,not found
Hscb,not found
Gm49391,not found
Gm45785,not found
Rpl36a-ps1,not found
Gm49804,not found
2001-08-01 00:00:00,not found
Gm20708,not found
Gm20547,not found
Gm20521,not found
Gm50364,not found
Gm45062,not found
Gm20671,not found
Gm29094,not found
Gm21970,not found
Rps18-ps6,not found
Gm28051,not found
Gm49325,not found
Gm20509,not found
Gm20696,not found
AK157302,not found
Mtnd2,not found
Mtnd3,not found
Cox5b-ps,not found
Gm21985,not found
2003-08-01 00:00:00,not found
2002-08-01 00:00:00,not found
Gm17087,not found
