Gene,Error
AK157302,No sequence found
9530068E07Rik,RetryError[<Future at 0x19d3dbf3710 state=finished raised HTTPError>]
1110004F10Rik,RetryError[<Future at 0x19d3dbdcd10 state=finished raised HTTPError>]
Abca1,RetryError[<Future at 0x19d3dbf0dd0 state=finished raised HTTPError>]
Abcc1,RetryError[<Future at 0x19d3dbf3470 state=finished raised HTTPError>]
Abhd16a,RetryError[<Future at 0x19d3dbf0770 state=finished raised HTTPError>]
Acot7,RetryError[<Future at 0x19d3dbdddf0 state=finished raised HTTPError>]
Acp2,RetryError[<Future at 0x19d3dbb11c0 state=finished raised HTTPError>]
Acsl1,RetryError[<Future at 0x19d3dbca4b0 state=finished raised HTTPError>]
Adap2,RetryError[<Future at 0x19d3dbb22a0 state=finished raised HTTPError>]
Agfg1,RetryError[<Future at 0x19d3db9e0f0 state=finished raised HTTPError>]
Agpat4,RetryError[<Future at 0x19d3dbc9670 state=finished raised HTTPError>]
Ahnak2,RetryError[<Future at 0x19d3db9d9a0 state=finished raised HTTPError>]
Aif1,RetryError[<Future at 0x19d3dbcac30 state=finished raised HTTPError>]
Aida,RetryError[<Future at 0x19d3db703b0 state=finished raised HTTPError>]
Ankib1,RetryError[<Future at 0x19d3db9d2b0 state=finished raised HTTPError>]
Ampd3,RetryError[<Future at 0x19d3db8b470 state=finished raised HTTPError>]
Anks1a,RetryError[<Future at 0x19d3db44e00 state=finished raised HTTPError>]
Arf4,RetryError[<Future at 0x19d3dbdc2c0 state=finished raised HTTPError>]
Arf5,RetryError[<Future at 0x19d3db9c800 state=finished raised HTTPError>]
Anks1,RetryError[<Future at 0x19d3db9f770 state=finished raised HTTPError>]
Arg1,RetryError[<Future at 0x19d3db72390 state=finished raised HTTPError>]
Arg2,RetryError[<Future at 0x19d3db445c0 state=finished raised HTTPError>]
Armc8,RetryError[<Future at 0x19d3db701d0 state=finished raised HTTPError>]
Atg16l1,RetryError[<Future at 0x19d3daeffb0 state=finished raised HTTPError>]
Arl6ip6,RetryError[<Future at 0x19d3dbcafc0 state=finished raised HTTPError>]
Asf1a,RetryError[<Future at 0x19d3dbdfa10 state=finished raised HTTPError>]
Atp7a,RetryError[<Future at 0x19d3db18590 state=finished raised HTTPError>]
Atxn2l,RetryError[<Future at 0x19d3dbc9b80 state=finished raised HTTPError>]
B2m,RetryError[<Future at 0x19d3dbdcb30 state=finished raised HTTPError>]
B3gat3,RetryError[<Future at 0x19d3daed1c0 state=finished raised HTTPError>]
Batf2,RetryError[<Future at 0x19d3daed0d0 state=finished raised HTTPError>]
Blvrb,RetryError[<Future at 0x19d3db2d6a0 state=finished raised HTTPError>]
Atp13a2,RetryError[<Future at 0x19d3db2c2c0 state=finished raised HTTPError>]
Bnip3,RetryError[<Future at 0x19d3dbdc0e0 state=finished raised HTTPError>]
Bcl7b,RetryError[<Future at 0x19d3db2df10 state=finished raised HTTPError>]
Bst2,RetryError[<Future at 0x19d3dbdf950 state=finished raised HTTPError>]
Brd9,RetryError[<Future at 0x19d3dbdf290 state=finished raised HTTPError>]
C2cd2l,RetryError[<Future at 0x19d3db454f0 state=finished raised HTTPError>]
Caprin1,RetryError[<Future at 0x19d3db2d970 state=finished raised HTTPError>]
Calhm6,RetryError[<Future at 0x19d3db191f0 state=finished raised HTTPError>]
Casp4,RetryError[<Future at 0x19d3dbb1a90 state=finished raised HTTPError>]
Ccdc71l,RetryError[<Future at 0x19d3dbb02c0 state=finished raised HTTPError>]
Casp7,RetryError[<Future at 0x19d3db1ba10 state=finished raised HTTPError>]
Ccdc86,RetryError[<Future at 0x19d3db9dd00 state=finished raised HTTPError>]
Cd274,RetryError[<Future at 0x19d3dbb0e00 state=finished raised HTTPError>]
Cd40,RetryError[<Future at 0x19d3db9ccb0 state=finished raised HTTPError>]
Cd86,RetryError[<Future at 0x19d3db9dc40 state=finished raised HTTPError>]
Cd200,RetryError[<Future at 0x19d3db890d0 state=finished raised HTTPError>]
Cdkn1a,RetryError[<Future at 0x19d3db44f20 state=finished raised HTTPError>]
Cd74,RetryError[<Future at 0x19d3dbf15b0 state=finished raised HTTPError>]
Cdc42ep4,RetryError[<Future at 0x19d3db45880 state=finished raised HTTPError>]
Cdyl2,RetryError[<Future at 0x19d3dac7bf0 state=finished raised HTTPError>]
Cenpa,RetryError[<Future at 0x19d3cacaa80 state=finished raised HTTPError>]
Cep170,RetryError[<Future at 0x19d3daef1d0 state=finished raised HTTPError>]
Chtop,RetryError[<Future at 0x19d3daecf20 state=finished raised HTTPError>]
Clec2d,RetryError[<Future at 0x19d3daae0c0 state=finished raised HTTPError>]
Clec4d,RetryError[<Future at 0x19d3dbdc7a0 state=finished raised HTTPError>]
Clec4e,RetryError[<Future at 0x19d3dbdd490 state=finished raised HTTPError>]
Cmtr1,RetryError[<Future at 0x19d3dbdc6b0 state=finished raised HTTPError>]
Cmtm6,RetryError[<Future at 0x19d3daaf590 state=finished raised HTTPError>]
Clec6a,RetryError[<Future at 0x19d3dbf3740 state=finished raised HTTPError>]
Clic4,RetryError[<Future at 0x19d3db88170 state=finished raised HTTPError>]
Col6a2,RetryError[<Future at 0x19d3dac4c50 state=finished raised HTTPError>]
Cog3,RetryError[<Future at 0x19d3dac71d0 state=finished raised HTTPError>]
Cox17,RetryError[<Future at 0x19d3daac4d0 state=finished raised HTTPError>]
Creld1,RetryError[<Future at 0x19d3daec980 state=finished raised HTTPError>]
Crk,RetryError[<Future at 0x19d3daef830 state=finished raised HTTPError>]
Crlf2,RetryError[<Future at 0x19d3daede20 state=finished raised HTTPError>]
Crtc3,RetryError[<Future at 0x19d3dbf0740 state=finished raised HTTPError>]
Crlf3,RetryError[<Future at 0x19d3dbf0ce0 state=finished raised HTTPError>]
Ctla2b,RetryError[<Future at 0x19d3db9c4a0 state=finished raised HTTPError>]
Cxcl10,RetryError[<Future at 0x19d3dbb3ce0 state=finished raised HTTPError>]
Cyba,RetryError[<Future at 0x19d3db73380 state=finished raised HTTPError>]
Dbnl,RetryError[<Future at 0x19d3db1bec0 state=finished raised HTTPError>]
Ddx24,RetryError[<Future at 0x19d3db191c0 state=finished raised HTTPError>]
Dck,RetryError[<Future at 0x19d3dbdd5b0 state=finished raised HTTPError>]
Diaph2,RetryError[<Future at 0x19d3db8a2d0 state=finished raised HTTPError>]
Dnaja1,RetryError[<Future at 0x19d3db447a0 state=finished raised HTTPError>]
Dnajb6,RetryError[<Future at 0x19d3db191c0 state=finished raised HTTPError>]
