Gene,SeqLength,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30
9930111J21Rik1,844,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Akt3,479,1,0,-1,0,0,0,0,1,-1,0,0,0,0,1,1,0,-1,0,0,1,0,0,1,0,1,0,0,0,0,1
Bnip3,179,1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1
Braf,804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
Cd40,424,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Arhgdib,193,1,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0
Bst2,814,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,-1,-1,0,0
Cdc42ep2,214,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,-1,1,0,1,-1,0,0,0,0,-1,0,0
Cd74,523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Ccl2,373,1,0,1,0,-1,0,0,1,-1,0,-1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0
Clec4d,218,1,0,0,-1,-1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd86,335,1,0,-1,0,0,0,0,0,1,0,-1,0,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cybb,570,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cmklr1,216,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0
Dhx58,678,1,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Crk,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0
Cdkn1a,159,1,0,0,0,0,-1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,1
Fam162a,155,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,1,0,0,1
Eif2ak2,515,1,0,0,-1,0,0,0,0,0,0,-1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0
Cxcl16,736,1,-1,0,0,0,0,0,1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,1,0
Dnajb12,376,1,-1,0,0,1,-1,-1,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,1,0
Fpr1,364,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fcgr4,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
Elf1,83,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Dock4,1978,1,0,0,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0
Gbp6,611,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1
Gbp7,339,1,0,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1
Gbp9,619,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,-1
Fyb1,358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,-1,0,-1,0,0,0,0,-1
Gm12185,835,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,0
Gm5431,844,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gnb4,340,1,0,-1,0,-1,0,0,1,0,-1,0,-1,0,0,1,0,0,0,0,-1,0,1,1,0,0,0,-1,0,0,0
H2-Q6,306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0
Gng12,72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-1,0,0,0,-1,1,0
Gpr84,396,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H2-T23,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gsr,418,1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Ifi203,408,1,0,-1,0,1,0,0,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,1,1
H2-D1,374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
H2-K1,374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ifih1,1025,1,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-1,0
Ifit1,463,1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0
Ifit3,382,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,-1,1
Ifit1bl1,470,1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0
Il1b,269,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1
Iigp1,393,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
Ifit2,382,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,-1,-1,1
Il15ra,263,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Irgm2,395,1,-1,-1,0,0,-1,0,0,-1,0,1,-1,0,-1,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0
Itgal,300,1,0,0,-1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Il1a,270,1,0,1,0,0,-1,0,0,-1,-1,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,0,0,0,0
Irgm1,342,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Jak3,529,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0
Isg20,300,1,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Itgb7,806,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,-1
Map2k4,427,1,0,1,0,1,1,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,1
Lcp2,665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ly6i,134,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,-1,0,0
Lyn,581,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
Map2k1,273,1,-1,0,0,0,0,1,1,1,-1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,1,0
Map2k6,360,1,0,0,-1,1,0,0,0,0,1,0,-1,0,0,1,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0
Mcl1,662,1,-1,0,-1,0,-1,1,0,0,0,-1,0,1,1,-1,1,0,1,-1,0,0,1,0,1,1,0,0,-1,0,-1
Mertk,466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,-1,0,-1,0
Mndal,538,1,0,-1,0,1,1,0,0,0,0,1,0,0,-1,0,0,-1,-1,0,0,0,1,0,0,1,0,0,0,1,1
Nod1,574,1,-1,0,-1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Mapk7,431,1,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Notch1,235,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
