Gene,Error
Arf5,RetryError[<Future at 0x19d3d9ebbc0 state=finished raised HTTPError>]
Abcc5,RetryError[<Future at 0x19d3dbf1be0 state=finished raised HTTPError>]
Abcc1,RetryError[<Future at 0x19d3dbf1d30 state=finished raised HTTPError>]
Arfgap3,RetryError[<Future at 0x19d3dbb0a10 state=finished raised HTTPError>]
Chmp4b,RetryError[<Future at 0x19d3dbf2510 state=finished raised HTTPError>]
Copz1,RetryError[<Future at 0x19d3d12f500 state=finished raised HTTPError>]
Atp7a,RetryError[<Future at 0x19d3daad730 state=finished raised HTTPError>]
Dlg4,RetryError[<Future at 0x19d3daaf770 state=finished raised HTTPError>]
Ehd1,RetryError[<Future at 0x19d3daaf260 state=finished raised HTTPError>]
Dennd1a,RetryError[<Future at 0x19d3daaf740 state=finished raised HTTPError>]
Ehd3,RetryError[<Future at 0x19d3d97e3c0 state=finished raised HTTPError>]
Cog3,RetryError[<Future at 0x19d3daac290 state=finished raised HTTPError>]
Fyb1,RetryError[<Future at 0x19d3daae930 state=finished raised HTTPError>]
Gramd1a,RetryError[<Future at 0x19d3dbb2a20 state=finished raised HTTPError>]
Ift20,RetryError[<Future at 0x19d3dbb0590 state=finished raised HTTPError>]
Kif1c,RetryError[<Future at 0x19d3d96bf20 state=finished raised HTTPError>]
Ist1,RetryError[<Future at 0x19d3d97dc70 state=finished raised HTTPError>]
M6pr,RetryError[<Future at 0x19d3d9e9580 state=finished raised HTTPError>]
Pdzd11,RetryError[<Future at 0x19d3dbb13a0 state=finished raised HTTPError>]
Lrrc8c,RetryError[<Future at 0x19d3d969880 state=finished raised HTTPError>]
Picalm,RetryError[<Future at 0x19d3dbf1fd0 state=finished raised HTTPError>]
Plcl2,RetryError[<Future at 0x19d3d9e9a90 state=finished raised HTTPError>]
Nup35,RetryError[<Future at 0x19d3d97cf50 state=finished raised HTTPError>]
Rab10,RetryError[<Future at 0x19d3dbf0200 state=finished raised HTTPError>]
Rab11a,RetryError[<Future at 0x19d3dbf03b0 state=finished raised HTTPError>]
Rab20,RetryError[<Future at 0x19d3daacbc0 state=finished raised HTTPError>]
Rab12,RetryError[<Future at 0x19d3d968650 state=finished raised HTTPError>]
Rcsd1,RetryError[<Future at 0x19d3daafd70 state=finished raised HTTPError>]
Scamp3,RetryError[<Future at 0x19d3daafb30 state=finished raised HTTPError>]
Rab3ip,RetryError[<Future at 0x19d3dbb3e60 state=finished raised HTTPError>]
Sarnp,RetryError[<Future at 0x19d3dac6b40 state=finished raised HTTPError>]
Slc11a1,RetryError[<Future at 0x19d3db2cb00 state=finished raised HTTPError>]
Slc16a3,RetryError[<Future at 0x19d3dbf3980 state=finished raised HTTPError>]
Slc25a22,RetryError[<Future at 0x19d3dac5040 state=finished raised HTTPError>]
Slc30a1,RetryError[<Future at 0x19d3d96a900 state=finished raised HTTPError>]
Snap23,RetryError[<Future at 0x19d3d96b350 state=finished raised HTTPError>]
Stx12,RetryError[<Future at 0x19d3dbb2810 state=finished raised HTTPError>]
Stxbp1,RetryError[<Future at 0x19d3d97c590 state=finished raised HTTPError>]
Slc2a1,RetryError[<Future at 0x19d3a518920 state=finished raised HTTPError>]
Tm9sf4,RetryError[<Future at 0x19d3d97d580 state=finished raised HTTPError>]
Tfg,RetryError[<Future at 0x19d3dbb0860 state=finished raised HTTPError>]
Use1,RetryError[<Future at 0x19d3daaf710 state=finished raised HTTPError>]
Washc2,RetryError[<Future at 0x19d3d96a840 state=finished raised HTTPError>]
Tmsb10,RetryError[<Future at 0x19d3d97db20 state=finished raised HTTPError>]
